"search-number","evaluation","r_weight_growth*","r_weight_estab*","gamma-recovery*","maturity-age-years*","min-sup-for-reproduction*","dispersal_radius_m*","management_reset_size*","num-replicates","best-fitness-so-far"
"1","3","1.0156878004119936","1.3071091783016708","6.072075989929045","2","4.585343709468223","225","6.000457770656901","3","0.5221553072405261"
"1","6","1.162101167315175","1.1668757152666513","5.75644312199588","2","5.831799801632715","250","8.852445258258946","3","0.5187637603784886"
"1","9","1.2247119859617","1.2232730601968413","6.270702677958343","3","7.193240253299764","275","8.635996032654306","3","0.5186650046645958"
"1","12","1.0089799343862058","1.5378347447928589","5.6683222705424585","2","7.780766002899214","250","7.095140001525902","3","0.5046696431048125"
"1","102","1.0737941557946136","1.4085603112840468","6.291645685511559","3","5.722529945830472","225","8.814221408407722","3","0.503551860755361"
"1","288","1.093972686350805","1.2177248798352025","5.755207141222248","3","5.875272755016404","250","8.85252155336843","3","0.5034501211161655"
"1","531","1.103488212405585","1.5181597619592586","5.1904325932707716","3","6.359670405127032","275","6.139009689478904","3","0.4995643891654056"
"1","561","0.9790295262073702","1.5448935683222706","6.396269169146258","3","6.460128175783932","200","8.760967421988251","3","0.492321166657075"
"2","3","0.9140444037537194","1.3350057221332112","5.99981689173724","3","5.734973678187228","275","6.876173037308309","3","0.5129337694485724"
"2","9","1.2883970397497522","1.2024719615472648","5.391485465781644","2","5.9050202182040135","275","9.044632639047837","3","0.5027203844955606"
"2","18","1.2682673380636302","1.4754497596704053","5.276104371709773","3","7.361684596017396","275","5.971389333943694","3","0.5000939055318638"
"2","168","1.0371175707637141","1.1662989242389563","5.68974593728542","3","7.692538338292516","275","7.365758754863814","3","0.49918826260415416"
"2","534","1.299432364385443","1.2024078736552988","5.39219501029984","2","7.909208819714657","250","6.295033188372625","3","0.4938751285285166"
